Element	MassNumber	WDD3
C	12	1.66E-02
C	13	3.17E-07
N	14	1.82E-04
N	15	1.21E-07
O	16	5.58E-02
O	17	3.60E-06
O	18	2.39E-07
F	19	2.30E-10
Ne	20	4.55E-04
Ne	21	1.72E-06
Ne	22	8.25E-04
Na	23	3.01E-05
Mg	24	2.62E-03
Mg	25	2.68E-05
Mg	26	1.41E-05
Al	27	1.41E-04
Si	28	1.58E-01
Si	29	2.13E-04
Si	30	3.88E-04
P	31	1.07E-04
S	32	9.37E-02
S	33	1.34E-04
S	34	1.46E-03
S	36	7.44E-08
Cl	35	5.33E-05
Cl	37	1.71E-05
Ar	36	1.87E-02
Ar	38	7.44E-04
Ar	40	3.56E-09
K	39	4.52E-05
K	41	3.62E-06
Ca	40	1.88E-02
Ca	42	1.93E-05
Ca	43	4.18E-07
Ca	44	4.66E-05
Ca	46	4.47E-09
Ca	48	1.55E-06
Sc	45	1.76E-07
Ti	46	8.58E-06
Ti	47	2.57E-06
Ti	48	5.23E-04
Ti	49	3.59E-05
Ti	50	3.51E-04
V	50	9.07E-09
V	51	1.02E-04
Cr	50	2.84E-04
Cr	52	1.13E-02
Cr	53	1.17E-03
Cr	54	1.60E-03
Mn	55	6.16E-03
Fe	54	5.15E-02
Fe	56	7.95E-01
Fe	57	2.06E-02
Fe	58	3.24E-03
Co	59	7.75E-04
Ni	58	4.97E-02
Ni	60	1.67E-02
Ni	61	5.92E-04
Ni	62	5.46E-03
Ni	64	2.32E-04
Cu	63	5.92E-06
Cu	65	3.38E-06
Zn	64	5.76E-05
Zn	66	1.04E-04
Zn	67	6.27E-07
Zn	68	9.42E-08
