Element	MassNumber	CDD1
C	12	9.93E-03
C	13	8.46E-07
N	14	9.06E-05
N	15	2.53E-07
O	16	9.34E-02
O	17	9.55E-07
O	18	2.08E-07
F	19	5.83E-10
Ne	20	1.16E-03
Ne	21	3.63E-06
Ne	22	4.41E-04
Na	23	5.10E-05
Mg	24	7.72E-03
Mg	25	4.85E-05
Mg	26	4.96E-05
Al	27	4.45E-04
Si	28	2.77E-01
Si	29	5.52E-04
Si	30	1.05E-03
P	31	2.40E-04
S	32	1.63E-01
S	33	2.71E-04
S	34	2.77E-03
S	36	2.22E-07
Cl	35	9.03E-05
Cl	37	2.86E-05
Ar	36	3.18E-02
Ar	38	1.20E-03
Ar	40	7.56E-09
K	39	6.39E-05
K	41	5.20E-06
Ca	40	3.18E-02
Ca	42	2.97E-05
Ca	43	5.15E-08
Ca	44	1.37E-05
Ca	46	8.79E-10
Ca	48	3.54E-11
Sc	45	2.47E-07
Ti	46	1.27E-05
Ti	47	4.93E-07
Ti	48	7.32E-04
Ti	49	5.22E-05
Ti	50	2.08E-05
V	50	4.94E-09
V	51	1.11E-04
Cr	50	4.49E-04
Cr	52	1.65E-02
Cr	53	1.59E-03
Cr	54	2.31E-04
Mn	55	8.10E-03
Fe	54	7.20E-02
Fe	56	5.65E-01
Fe	57	1.01E-02
Fe	58	8.63E-04
Co	59	2.91E-04
Ni	58	3.15E-02
Ni	60	2.81E-03
Ni	61	4.00E-05
Ni	62	6.51E-04
Ni	64	2.47E-06
Cu	63	6.14E-07
Cu	65	1.14E-07
Zn	64	1.87E-06
Zn	66	2.84E-06
Zn	67	1.69E-09
Zn	68	3.08E-09
