Element	MassNumber	WDD2
C	12	8.99E-03
C	13	3.30E-07
N	14	2.69E-04
N	15	5.32E-07
O	16	6.58E-02
O	17	4.58E-06
O	18	6.35E-07
F	19	4.50E-10
Ne	20	6.22E-04
Ne	21	1.39E-06
Ne	22	4.21E-04
Na	23	2.61E-05
Mg	24	4.47E-03
Mg	25	2.66E-05
Mg	26	2.59E-05
Al	27	2.47E-04
Si	28	2.06E-01
Si	29	3.40E-04
Si	30	6.41E-04
P	31	1.60E-04
S	32	1.22E-01
S	33	1.92E-04
S	34	2.04E-03
S	36	1.31E-07
Cl	35	7.07E-05
Cl	37	2.26E-05
Ar	36	2.41E-02
Ar	38	9.90E-04
Ar	40	5.19E-09
K	39	5.67E-05
K	41	4.52E-06
Ca	40	2.43E-02
Ca	42	2.55E-05
Ca	43	2.22E-07
Ca	44	2.95E-05
Ca	46	4.73E-09
Ca	48	1.64E-06
Sc	45	2.09E-07
Ti	46	1.12E-05
Ti	47	1.56E-06
Ti	48	6.11E-04
Ti	49	4.39E-05
Ti	50	3.51E-04
V	50	9.33E-09
V	51	1.16E-04
Cr	50	3.53E-04
Cr	52	1.37E-02
Cr	53	1.38E-03
Cr	54	1.60E-03
Mn	55	7.05E-03
Fe	54	5.91E-02
Fe	56	7.13E-01
Fe	57	1.67E-02
Fe	58	3.23E-03
Co	59	6.25E-04
Ni	58	4.29E-02
Ni	60	1.15E-02
Ni	61	3.58E-04
Ni	62	3.69E-03
Ni	64	2.31E-04
Cu	63	4.88E-06
Cu	65	2.04E-06
Zn	64	3.10E-05
Zn	66	6.42E-05
Zn	67	6.55E-07
Zn	68	8.81E-08
