Element	MassNumber	W70
C	12	5.08E-02
C	13	1.56E-09
N	14	3.31E-08
N	15	4.13E-07
O	16	1.33E-01
O	17	3.33E-10
O	18	2.69E-10
F	19	1.37E-10
Ne	20	2.29E-03
Ne	21	2.81E-08
Ne	22	2.15E-08
Na	23	1.41E-05
Mg	24	1.58E-02
Mg	25	1.64E-07
Mg	26	1.87E-07
Al	27	1.13E-04
Si	28	1.42E-01
Si	29	5.79E-05
Si	30	7.12E-05
P	31	9.12E-05
S	32	9.14E-02
S	33	6.07E-05
S	34	1.74E-05
S	36	3.41E-11
Cl	35	1.06E-05
Cl	37	5.56E-06
Ar	36	1.91E-02
Ar	38	6.60E-07
Ar	40	3.42E-12
K	39	1.67E-06
K	41	4.83E-07
Ca	40	1.81E-02
Ca	42	1.06E-08
Ca	43	6.17E-08
Ca	44	1.38E-05
Ca	46	1.01E-09
Ca	48	2.47E-09
Sc	45	3.85E-08
Ti	46	3.49E-07
Ti	47	4.08E-07
Ti	48	3.13E-04
Ti	49	2.94E-06
Ti	50	1.04E-04
V	50	1.22E-08
V	51	4.27E-05
Cr	50	6.65E-05
Cr	52	7.73E-03
Cr	53	5.66E-04
Cr	54	9.04E-04
Mn	55	6.66E-03
Fe	54	7.30E-02
Fe	56	6.80E-01
Fe	57	1.92E-02
Fe	58	2.96E-03
Co	59	9.68E-04
Ni	58	8.34E-02
Ni	60	1.47E-02
Ni	61	2.15E-04
Ni	62	1.85E-03
Ni	64	1.65E-05
Cu	63	3.00E-06
Cu	65	8.33E-07
Zn	64	7.01E-05
Zn	66	6.26E-06
Zn	67	7.28E-09
Zn	68	1.13E-08
