Element	MassNumber	13	15	18	20	25	30	40
Ca	43	3.41E-07	3.60E-07	1.93E-06	5.23E-07	7.95E-07	9.89E-07	1.43E-06
Ca	44	2.07E-05	2.30E-05	3.40E-05	2.09E-05	2.65E-05	1.51E-05	1.88E-05
Ca	46	7.37E-08	1.18E-07	6.81E-07	1.10E-07	1.28E-07	1.97E-07	3.24E-07
Ca	48	3.22E-07	4.02E-07	2.37E-06	5.02E-07	6.19E-07	6.48E-07	7.80E-07
Sc	45	2.16E-07	2.48E-07	1.35E-06	3.61E-07	5.30E-07	1.09E-06	1.64E-06
Ti	46	5.16E-06	6.09E-06	8.19E-06	3.54E-06	5.14E-06	1.22E-05	1.40E-05
Ti	47	5.40E-06	3.40E-06	4.65E-06	1.33E-06	6.46E-06	1.46E-06	2.04E-06
Ti	48	8.17E-05	7.41E-05	1.37E-04	1.14E-04	8.94E-05	2.33E-04	2.68E-04
Ti	49	3.49E-06	2.81E-06	7.25E-06	5.19E-06	4.09E-06	1.36E-05	1.72E-05
Ti	50	5.85E-07	5.61E-07	3.72E-06	1.08E-06	2.25E-06	4.10E-06	7.70E-06
V	50	4.61E-09	4.94E-09	4.06E-08	1.01E-08	1.98E-08	5.38E-08	9.68E-08
V	51	1.31E-05	9.56E-06	1.23E-05	8.01E-06	1.41E-05	1.77E-05	2.20E-05
Cr	50	1.75E-05	2.71E-05	3.34E-05	3.06E-05	2.47E-05	8.56E-05	1.21E-04
Cr	52	1.11E-03	9.63E-04	1.81E-03	1.66E-03	1.24E-03	3.73E-03	4.07E-03
Cr	53	6.78E-05	5.90E-05	1.23E-04	1.04E-04	7.21E-05	2.43E-04	2.76E-04
Cr	54	1.75E-06	1.84E-06	1.07E-05	3.11E-06	5.79E-06	8.65E-06	1.39E-05
Mn	55	2.00E-04	1.71E-04	4.68E-04	3.29E-04	2.34E-04	7.61E-04	8.38E-04
Fe	54	1.24E-03	1.23E-03	2.63E-03	2.37E-03	1.41E-03	7.09E-03	9.39E-03
Fe	56	7.26E-02	7.30E-02	8.72E-02	7.40E-02	7.47E-02	7.46E-02	7.47E-02
Fe	57	1.05E-03	1.13E-03	4.00E-03	1.22E-03	1.05E-03	7.15E-04	7.31E-04
Fe	58	4.77E-05	4.89E-05	2.66E-04	9.17E-05	1.85E-04	2.89E-04	4.34E-04
Co	59	1.96E-04	1.31E-04	2.69E-04	6.21E-05	2.17E-04	1.28E-04	1.91E-04
Ni	58	5.14E-04	4.64E-04	2.25E-02	4.93E-04	5.44E-04	7.14E-04	8.27E-04
Ni	60	1.80E-03	1.67E-03	1.37E-03	1.29E-03	1.80E-03	2.63E-04	3.80E-04
Ni	61	4.25E-05	4.99E-05	2.66E-04	5.67E-05	6.09E-05	5.55E-05	9.80E-05
Ni	62	3.55E-05	2.40E-05	3.08E-03	9.09E-05	1.09E-04	1.75E-04	3.01E-04
Ni	64	1.09E-05	3.62E-06	6.68E-05	2.79E-05	9.88E-05	1.95E-04	4.25E-04
