Element	MassNumber	N150def
He	4	2.43E-04
C	12	2.60E-01
C	13	2.39E-06
N	14	7.04E-05
N	15	1.30E-07
O	16	3.54E-01
O	17	9.64E-06
O	18	2.88E-07
F	19	2.30E-09
Ne	20	2.60E-02
Ne	21	1.06E-05
Ne	22	1.25E-02
Na	23	6.78E-04
Mg	24	2.27E-02
Mg	25	7.50E-04
Mg	26	9.26E-04
Al	27	1.89E-03
Si	28	9.43E-02
Si	29	1.33E-03
Si	30	2.26E-03
P	31	5.44E-04
S	32	2.97E-02
S	33	1.52E-04
S	34	1.54E-03
S	36	2.03E-07
Cl	35	9.45E-05
Cl	37	1.05E-05
Ar	36	4.20E-03
Ar	38	6.27E-04
Ar	40	4.72E-09
K	39	3.10E-05
K	41	1.57E-06
Ca	40	3.43E-03
Ca	42	1.26E-05
Ca	43	2.11E-08
Ca	44	2.52E-06
Ca	46	7.26E-12
Ca	48	2.15E-15
Sc	45	4.61E-08
Ti	46	5.79E-06
Ti	47	1.88E-07
Ti	48	8.60E-05
Ti	49	7.78E-06
Ti	50	1.56E-07
V	50	2.99E-09
V	51	4.58E-05
Cr	50	1.91E-04
Cr	52	3.73E-03
Cr	53	7.53E-04
Cr	54	8.28E-06
Mn	55	1.09E-02
Fe	54	8.62E-02
Fe	56	3.97E-01
Fe	57	1.43E-02
Fe	58	5.98E-05
Co	59	4.65E-04
Ni	58	6.47E-02
Ni	60	4.21E-03
Ni	61	2.05E-05
Ni	62	1.82E-04
Ni	64	2.39E-08
Cu	63	2.41E-07
Cu	65	3.60E-08
Zn	64	6.47E-07
Zn	66	7.87E-07
Zn	67	5.28E-10
Zn	68	3.69E-10
Zn	70	1.15E-15
Ga	69	3.09E-13
Ga	71	2.73E-15
Ge	70	3.21E-13
