Element	MassNumber	N20def
He	4	1.62E-04
C	12	1.26E-01
C	13	3.47E-07
N	14	3.31E-05
N	15	6.25E-08
O	16	1.89E-01
O	17	4.35E-06
O	18	1.22E-07
F	19	1.07E-09
Ne	20	1.95E-02
Ne	21	4.99E-06
Ne	22	6.01E-03
Na	23	3.63E-04
Mg	24	1.63E-02
Mg	25	4.26E-04
Mg	26	5.86E-04
Al	27	1.43E-03
Si	28	7.23E-02
Si	29	9.29E-04
Si	30	1.57E-03
P	31	3.93E-04
S	32	2.30E-02
S	33	1.15E-04
S	34	1.17E-03
S	36	1.31E-07
Cl	35	7.07E-05
Cl	37	8.58E-06
Ar	36	3.25E-03
Ar	38	5.04E-04
Ar	40	3.53E-09
K	39	2.61E-05
K	41	1.32E-06
Ca	40	2.62E-03
Ca	42	1.07E-05
Ca	43	2.01E-08
Ca	44	1.90E-06
Ca	46	6.42E-12
Ca	48	1.51E-14
Sc	45	3.88E-08
Ti	46	4.78E-06
Ti	47	1.50E-07
Ti	48	6.36E-05
Ti	49	5.60E-06
Ti	50	3.30E-07
V	50	2.42E-09
V	51	3.13E-05
Cr	50	1.30E-04
Cr	52	2.59E-03
Cr	53	4.92E-04
Cr	54	1.04E-05
Mn	55	7.04E-03
Fe	54	5.30E-02
Fe	56	2.75E-01
Fe	57	9.83E-03
Fe	58	7.17E-05
Co	59	2.92E-04
Ni	58	4.20E-02
Ni	60	2.60E-03
Ni	61	1.39E-05
Ni	62	1.40E-04
Ni	64	4.54E-08
Cu	63	1.67E-07
Cu	65	2.33E-08
Zn	64	3.96E-07
Zn	66	4.74E-07
Zn	67	3.18E-10
Zn	68	2.76E-10
Zn	70	3.46E-15
Ga	69	3.11E-13
Ga	71	3.16E-15
Ge	70	2.43E-13
