Element	MassNumber	N5
C	12	9.05E-03
C	13	5.05E-08
N	14	8.46E-06
N	15	1.03E-08
O	16	5.63E-02
O	17	1.16E-06
O	18	1.11E-08
F	19	1.17E-10
Ne	20	3.75E-03
Ne	21	8.81E-07
Ne	22	2.87E-04
Na	23	6.09E-05
Mg	24	8.53E-03
Mg	25	8.92E-05
Mg	26	1.34E-04
Al	27	4.56E-04
Si	28	1.19E-01
Si	29	5.68E-04
Si	30	1.23E-03
P	31	2.87E-04
S	32	4.79E-02
S	33	1.42E-04
S	34	1.57E-03
S	36	1.65E-07
Cl	35	8.27E-05
Cl	37	1.34E-05
Ar	36	8.03E-03
Ar	38	7.18E-04
Ar	40	3.13E-09
K	39	4.12E-05
K	41	2.30E-06
Ca	40	7.09E-03
Ca	42	1.55E-05
Ca	43	2.63E-08
Ca	44	5.24E-06
Ca	46	2.66E-11
Ca	48	7.61E-15
Sc	45	8.56E-08
Ti	46	8.01E-06
Ti	47	3.01E-07
Ti	48	1.67E-04
Ti	49	1.29E-05
Ti	50	1.33E-07
V	51	1.94E-09
V	51	5.01E-05
Cr	50	1.84E-04
Cr	52	4.56E-03
Cr	53	5.91E-04
Cr	54	4.54E-06
Mn	55	6.80E-03
Fe	54	3.84E-02
Fe	56	9.80E-01
Fe	57	2.91E-02
Fe	58	3.21E-05
Co	59	5.62E-04
Ni	58	6.98E-02
Ni	60	3.22E-03
Ni	61	1.02E-04
Ni	62	8.10E-04
Ni	64	1.94E-08
Cu	63	5.59E-07
Cu	65	1.32E-07
Zn	64	2.09E-06
Zn	66	3.11E-06
Zn	67	1.77E-09
Zn	68	1.10E-09
Zn	70	1.52E-15
Ga	69	1.77E-13
Ga	71	3.31E-15
