Element	MassNumber	N1600
C	12	1.06E-02
C	13	5.57E-08
N	14	1.04E-05
N	15	1.29E-08
O	16	1.91E-01
O	17	1.36E-06
O	18	1.44E-08
F	19	1.58E-10
Ne	20	9.40E-03
Ne	21	1.29E-06
Ne	22	2.32E-04
Na	23	1.09E-04
Mg	24	3.08E-02
Mg	25	1.75E-04
Mg	26	2.63E-04
Al	27	1.48E-03
Si	28	3.61E-01
Si	29	1.97E-03
Si	30	4.53E-03
P	31	1.05E-03
S	32	1.22E-01
S	33	5.47E-04
S	34	6.56E-03
S	36	4.97E-07
Cl	35	2.98E-04
Cl	37	5.22E-05
Ar	36	1.64E-02
Ar	38	2.98E-03
Ar	40	9.87E-09
K	39	1.60E-04
K	41	8.93E-06
Ca	40	1.10E-02
Ca	42	6.44E-05
Ca	43	9.21E-08
Ca	44	6.08E-06
Ca	46	8.43E-11
Ca	48	4.52E-15
Sc	45	2.48E-07
Ti	46	3.11E-05
Ti	47	8.46E-07
Ti	48	1.50E-04
Ti	49	1.62E-05
Ti	50	1.19E-09
V	51	6.11E-09
V	51	8.09E-05
Cr	50	5.08E-04
Cr	52	4.78E-03
Cr	53	1.06E-03
Cr	54	3.17E-06
Mn	55	1.31E-02
Fe	54	1.22E-01
Fe	56	3.90E-01
Fe	57	1.45E-02
Fe	58	7.02E-06
Co	59	6.23E-04
Ni	58	7.48E-02
Ni	60	5.79E-03
Ni	61	1.48E-05
Ni	62	9.83E-05
Ni	64	1.78E-11
Cu	63	1.91E-07
Cu	65	2.41E-08
Zn	64	5.66E-07
Zn	66	5.74E-07
Zn	67	3.76E-10
Zn	68	2.29E-10
Zn	70	7.40E-22
Ga	69	9.10E-15
Ga	71	6.14E-16
