Element	MassNumber	N100
C	12	3.04E-03
C	13	1.74E-08
N	14	3.21E-06
N	15	3.67E-09
O	16	1.01E-01
O	17	4.13E-07
O	18	3.53E-09
F	19	4.39E-11
Ne	20	3.53E-03
Ne	21	4.11E-07
Ne	22	4.07E-05
Na	23	3.74E-05
Mg	24	1.52E-02
Mg	25	6.49E-05
Mg	26	9.66E-05
Al	27	6.74E-04
Si	28	2.84E-01
Si	29	1.03E-03
Si	30	2.36E-03
P	31	5.77E-04
S	32	1.11E-01
S	33	3.39E-04
S	34	4.04E-03
S	36	2.47E-07
Cl	35	1.78E-04
Cl	37	3.51E-05
Ar	36	1.77E-02
Ar	38	1.91E-03
Ar	40	5.21E-09
K	39	1.07E-04
K	41	6.08E-06
Ca	40	1.47E-02
Ca	42	4.15E-05
Ca	43	6.12E-08
Ca	44	1.00E-05
Ca	46	4.85E-11
Ca	48	7.85E-15
Sc	45	2.05E-07
Ti	46	2.11E-05
Ti	47	7.05E-07
Ti	48	3.14E-04
Ti	49	2.59E-05
Ti	50	2.60E-07
V	51	5.56E-09
V	51	1.05E-04
Cr	50	4.51E-04
Cr	52	8.57E-03
Cr	53	1.24E-03
Cr	54	2.61E-07
Mn	55	9.29E-03
Fe	54	9.94E-02
Fe	56	6.22E-01
Fe	57	1.88E-02
Fe	58	8.02E-05
Co	59	5.34E-04
Ni	58	6.90E-02
Ni	60	4.54E-03
Ni	61	4.76E-05
Ni	62	4.00E-04
Ni	64	3.83E-08
Cu	63	3.78E-07
Cu	65	8.02E-08
Zn	64	1.32E-06
Zn	66	1.79E-06
Zn	67	1.09E-09
Zn	68	7.24E-10
Zn	70	2.23E-15
Ga	69	3.93E-13
Ga	71	4.03E-15
