Element	MassNumber	N100def
He	4	2.15E-04
C	12	2.47E-01
C	13	2.16E-06
N	14	7.33E-05
N	15	1.47E-07
O	16	3.34E-01
O	17	9.24E-06
O	18	3.54E-07
F	19	2.84E-09
Ne	20	2.67E-02
Ne	21	1.23E-05
Ne	22	1.17E-02
Na	23	7.69E-04
Mg	24	2.06E-02
Mg	25	8.28E-04
Mg	26	1.01E-03
Al	27	1.88E-03
Si	28	8.39E-02
Si	29	1.19E-03
Si	30	2.01E-03
P	31	4.80E-04
S	32	2.65E-02
S	33	1.35E-04
S	34	1.37E-03
S	36	1.79E-07
Cl	35	8.31E-05
Cl	37	9.36E-06
Ar	36	3.78E-03
Ar	38	5.57E-04
Ar	40	4.22E-09
K	39	2.76E-05
K	41	1.40E-06
Ca	40	3.11E-03
Ca	42	1.12E-05
Ca	43	1.88E-08
Ca	44	2.30E-06
Ca	46	6.77E-12
Ca	48	5.12E-15
Sc	45	4.15E-08
Ti	46	5.15E-06
Ti	47	1.69E-07
Ti	48	7.85E-05
Ti	49	7.14E-06
Ti	50	2.54E-07
V	50	2.99E-09
V	51	4.26E-05
Cr	50	1.74E-04
Cr	52	3.50E-03
Cr	53	7.04E-04
Cr	54	1.07E-05
Mn	55	1.02E-02
Fe	54	8.02E-02
Fe	56	3.72E-01
Fe	57	1.34E-02
Fe	58	7.86E-05
Co	59	4.25E-04
Ni	58	6.01E-02
Ni	60	3.88E-03
Ni	61	1.93E-05
Ni	62	1.85E-04
Ni	64	3.74E-08
Cu	63	2.32E-07
Cu	65	3.36E-08
Zn	64	5.82E-07
Zn	66	7.10E-07
Zn	67	4.73E-10
Zn	68	3.66E-10
Zn	70	2.12E-15
Ga	69	3.72E-13
Ga	71	3.31E-15
Ge	70	3.29E-13
