Element	MassNumber	N100_Z0.01
C	12	3.16E-03
C	13	2.72E-10
N	14	7.22E-08
N	15	8.73E-08
O	16	9.47E-02
O	17	5.43E-09
O	18	9.93E-10
F	19	4.79E-11
Ne	20	3.74E-03
Ne	21	6.93E-09
Ne	22	1.71E-07
Na	23	1.72E-05
Mg	24	2.90E-02
Mg	25	8.99E-07
Mg	26	1.04E-06
Al	27	8.71E-05
Si	28	2.89E-01
Si	29	1.35E-04
Si	30	1.84E-05
P	31	3.54E-05
S	32	1.15E-01
S	33	4.57E-05
S	34	7.14E-06
S	36	1.73E-11
Cl	35	5.65E-06
Cl	37	3.52E-06
Ar	36	2.04E-02
Ar	38	5.40E-06
Ar	40	5.11E-14
K	39	3.57E-06
K	41	4.92E-07
Ca	40	1.77E-02
Ca	42	8.87E-08
Ca	43	6.23E-09
Ca	44	1.27E-05
Ca	46	5.82E-13
Ca	48	4.82E-15
Sc	45	3.94E-08
Ti	46	2.19E-07
Ti	47	9.90E-08
Ti	48	3.87E-04
Ti	49	6.83E-06
Ti	50	2.46E-07
V	51	2.28E-09
V	51	2.62E-05
Cr	50	8.59E-05
Cr	52	9.64E-03
Cr	53	6.27E-04
Cr	54	1.05E-05
Mn	55	7.84E-03
Fe	54	6.62E-02
Fe	56	6.72E-01
Fe	57	1.28E-02
Fe	58	7.70E-05
Co	59	7.53E-04
Ni	58	5.01E-02
Ni	60	5.36E-03
Ni	61	2.71E-05
Ni	62	1.25E-04
Ni	64	3.63E-08
Cu	63	1.29E-05
Cu	65	1.45E-07
Zn	64	2.64E-05
Zn	66	4.37E-07
Zn	67	1.73E-10
Zn	68	1.51E-10
Zn	70	2.09E-15
Ga	69	3.72E-13
Ga	71	2.66E-15
