Element	MassNumber	N1600def
He	4	1.76E-04
C	12	2.89E-01
C	13	1.11E-06
N	14	4.90E-05
N	15	7.68E-08
O	16	3.66E-01
O	17	8.02E-06
O	18	1.40E-07
F	19	1.08E-09
Ne	20	1.61E-02
Ne	21	5.64E-06
Ne	22	1.45E-02
Na	23	3.78E-04
Mg	24	1.76E-02
Mg	25	4.45E-04
Mg	26	5.51E-04
Al	27	1.26E-03
Si	28	7.63E-02
Si	29	1.04E-03
Si	30	1.84E-03
P	31	4.36E-04
S	32	2.40E-02
S	33	1.24E-04
S	34	1.26E-03
S	36	1.71E-07
Cl	35	7.63E-05
Cl	37	8.39E-06
Ar	36	3.40E-03
Ar	38	5.05E-04
Ar	40	3.82E-09
K	39	2.44E-05
K	41	1.24E-06
Ca	40	2.82E-03
Ca	42	9.91E-06
Ca	43	1.53E-08
Ca	44	2.10E-06
Ca	46	5.47E-12
Ca	48	9.48E-17
Sc	45	3.70E-08
Ti	46	4.65E-06
Ti	47	1.54E-07
Ti	48	7.41E-05
Ti	49	7.06E-06
Ti	50	3.40E-10
V	50	2.09E-09
V	51	4.65E-05
Cr	50	2.10E-04
Cr	52	3.54E-03
Cr	53	8.41E-04
Cr	54	2.88E-06
Mn	55	1.19E-02
Fe	54	1.07E-01
Fe	56	3.65E-01
Fe	57	1.38E-02
Fe	58	6.80E-06
Co	59	6.07E-04
Ni	58	7.28E-02
Ni	60	5.67E-03
Ni	61	1.43E-05
Ni	62	9.59E-05
Ni	64	1.72E-11
Cu	63	1.87E-07
Cu	65	2.38E-08
Zn	64	5.59E-07
Zn	66	5.64E-07
Zn	67	3.67E-10
Zn	68	2.22E-10
Zn	70	6.93E-22
Ga	69	8.76E-15
Ga	71	6.37E-16
Ge	70	1.03E-13
