Element	MassNumber	N1def	N3def	N5def	N10def	N20def	N40def	N100Ldef	N100def	N100Hdef	N150def	N200def	N300Cdef	N1600def	N1600Cdef
K	39	1.73E-06	5.20E-06	8.21E-06	1.15E-05	2.61E-05	2.67E-05	2.48E-05	2.76E-05	3.42E-05	3.10E-05	2.77E-05	3.17E-05	2.44E-05	2.49E-05
K	41	9.08E-08	2.69E-07	4.31E-07	5.93E-07	1.32E-06	1.35E-06	1.25E-06	1.40E-06	1.73E-06	1.57E-06	1.41E-06	1.61E-06	1.24E-06	1.26E-06
Ca	40	2.31E-04	6.12E-04	1.14E-03	1.46E-03	2.62E-03	2.92E-03	2.96E-03	3.11E-03	3.52E-03	3.43E-03	3.14E-03	3.45E-03	2.82E-03	2.96E-03
Ca	42	6.68E-07	2.03E-06	3.25E-06	4.55E-06	1.07E-05	1.08E-05	1.00E-05	1.12E-05	1.39E-05	1.26E-05	1.13E-05	1.30E-05	9.91E-06	1.01E-05
Ca	43	1.46E-09	3.78E-09	5.36E-09	7.83E-09	2.01E-08	1.95E-08	1.56E-08	1.88E-08	2.64E-08	2.11E-08	1.77E-08	2.04E-08	1.53E-08	1.53E-08
Ca	44	1.97E-07	4.83E-07	8.98E-07	1.12E-06	1.90E-06	2.16E-06	2.07E-06	2.30E-06	2.58E-06	2.52E-06	2.33E-06	2.46E-06	2.10E-06	2.15E-06
Ca	46	4.82E-13	1.22E-12	1.97E-12	2.70E-12	6.42E-12	6.42E-12	5.59E-12	6.77E-12	6.67E-10	7.26E-12	6.12E-12	1.06E-11	5.47E-12	5.75E-12
Ca	48	7.17E-16	1.92E-15	5.29E-15	5.09E-15	1.51E-14	3.07E-15	1.03E-16	5.12E-15	9.58E-11	2.15E-15	3.03E-16	8.17E-14	9.48E-17	1.06E-16
Sc	45	3.03E-09	8.45E-09	1.40E-08	1.89E-08	3.88E-08	4.05E-08	3.50E-08	4.15E-08	5.35E-08	4.61E-08	4.17E-08	4.60E-08	3.70E-08	3.71E-08
Ti	46	3.21E-07	9.66E-07	1.57E-06	2.17E-06	4.78E-06	4.95E-06	4.66E-06	5.15E-06	6.32E-06	5.79E-06	5.24E-06	5.96E-06	4.65E-06	4.74E-06
Ti	47	1.29E-08	3.38E-08	5.66E-08	7.51E-08	1.50E-07	1.62E-07	1.48E-07	1.69E-07	2.00E-07	1.88E-07	1.71E-07	1.88E-07	1.54E-07	1.54E-07
Ti	48	6.11E-06	1.57E-05	3.09E-05	3.83E-05	6.36E-05	7.33E-05	6.93E-05	7.85E-05	8.79E-05	8.60E-05	8.19E-05	8.41E-05	7.41E-05	7.49E-05
