Element	MassNumber	N1
C	12	2.61E-03
C	13	1.84E-08
N	14	2.92E-06
N	15	3.36E-09
O	16	2.63E-02
O	17	3.96E-07
O	18	3.32E-09
F	19	3.73E-11
Ne	20	1.47E-03
Ne	21	3.08E-07
Ne	22	6.40E-05
Na	23	2.20E-05
Mg	24	3.93E-03
Mg	25	3.35E-05
Mg	26	5.15E-05
Al	27	1.98E-04
Si	28	6.32E-02
Si	29	2.69E-04
Si	30	5.96E-04
P	31	1.40E-04
S	32	2.62E-02
S	33	7.51E-05
S	34	8.26E-04
S	36	8.12E-08
Cl	35	4.29E-05
Cl	37	7.32E-06
Ar	36	4.52E-03
Ar	38	3.77E-04
Ar	40	1.68E-09
K	39	2.26E-05
K	41	1.29E-06
Ca	40	4.05E-03
Ca	42	8.32E-06
Ca	43	1.63E-08
Ca	44	3.25E-06
Ca	46	1.58E-11
Ca	48	1.97E-15
Sc	45	5.12E-08
Ti	46	4.33E-06
Ti	47	1.80E-07
Ti	48	1.02E-04
Ti	49	8.06E-06
Ti	50	2.48E-08
V	51	8.95E-10
V	51	3.41E-05
Cr	50	1.01E-04
Cr	52	3.55E-03
Cr	53	5.25E-04
Cr	54	9.85E-07
Mn	55	8.74E-03
Fe	54	3.02E-02
Fe	56	1.11E-00
Fe	57	3.37E-02
Fe	58	7.14E-06
Co	59	4.18E-04
Ni	58	7.26E-02
Ni	60	2.01E-03
Ni	61	8.45E-05
Ni	62	6.55E-04
Ni	64	4.24E-09
Cu	63	4.44E-07
Cu	65	1.09E-07
Zn	64	1.72E-06
Zn	66	2.55E-06
Zn	67	1.48E-09
Zn	68	9.01E-10
Zn	70	3.39E-16
Ga	69	5.66E-14
Ga	71	2.06E-15
