Element	MassNumber	N40
C	12	3.90E-03
C	13	2.18E-08
N	14	4.30E-06
N	15	5.16E-09
O	16	9.89E-02
O	17	5.54E-07
O	18	5.29E-09
F	19	6.22E-11
Ne	20	4.15E-03
Ne	21	5.43E-07
Ne	22	5.77E-05
Na	23	4.66E-05
Mg	24	1.54E-02
Mg	25	7.70E-05
Mg	26	1.17E-04
Al	27	7.05E-04
Si	28	2.59E-01
Si	29	1.03E-03
Si	30	2.35E-03
P	31	5.60E-04
S	32	1.01E-01
S	33	3.14E-04
S	34	3.73E-03
S	36	2.57E-07
Cl	35	1.67E-04
Cl	37	3.14E-05
Ar	36	1.61E-02
Ar	38	1.72E-03
Ar	40	5.27E-09
K	39	9.52E-05
K	41	5.38E-06
Ca	40	1.35E-02
Ca	42	3.69E-05
Ca	43	5.62E-08
Ca	44	9.14E-06
Ca	46	4.76E-11
Ca	48	5.84E-15
Sc	45	1.83E-07
Ti	46	1.87E-05
Ti	47	6.33E-07
Ti	48	2.85E-04
Ti	49	2.35E-05
Ti	50	1.62E-07
V	51	4.68E-09
V	51	9.51E-05
Cr	50	4.06E-04
Cr	52	7.70E-03
Cr	53	1.12E-03
Cr	54	7.59E-06
Mn	55	1.21E-02
Fe	54	9.00E-02
Fe	56	6.70E-01
Fe	57	2.03E-02
Fe	58	5.33E-05
Co	59	5.59E-04
Ni	58	6.89E-02
Ni	60	4.40E-03
Ni	61	6.57E-05
Ni	62	5.27E-04
Ni	64	2.40E-08
Cu	63	4.43E-07
Cu	65	1.05E-07
Zn	64	1.71E-06
Zn	66	2.41E-06
Zn	67	1.42E-09
Zn	68	8.87E-10
Zn	70	1.36E-15
Ga	69	2.72E-13
Ga	71	3.43E-15
