Element	MassNumber	N10
C	12	4.43E-03
C	13	2.57E-08
N	14	3.85E-06
N	15	4.47E-09
O	16	5.16E-02
O	17	5.34E-07
O	18	4.54E-09
F	19	5.05E-11
Ne	20	2.40E-03
Ne	21	4.16E-07
Ne	22	1.31E-04
Na	23	3.22E-05
Mg	24	7.77E-03
Mg	25	5.07E-05
Mg	26	7.55E-05
Al	27	3.71E-04
Si	28	1.38E-01
Si	29	5.17E-04
Si	30	1.18E-03
P	31	2.78E-04
S	32	5.74E-02
S	33	1.53E-04
S	34	1.75E-03
S	36	1.41E-07
Cl	35	8.37E-05
Cl	37	1.53E-05
Ar	36	9.89E-03
Ar	38	8.01E-04
Ar	40	2.90E-09
K	39	4.65E-05
K	41	2.66E-06
Ca	40	8.82E-03
Ca	42	1.74E-05
Ca	43	2.92E-08
Ca	44	6.49E-06
Ca	46	2.64E-11
Ca	48	7.56E-15
Sc	45	1.03E-07
Ti	46	9.13E-06
Ti	47	3.58E-07
Ti	48	2.07E-04
Ti	49	1.61E-05
Ti	50	1.44E-07
V	51	2.34E-09
V	51	6.18E-05
Cr	50	2.27E-04
Cr	52	5.45E-03
Cr	53	7.09E-04
Cr	54	5.18E-06
Mn	55	7.61E-03
Fe	54	4.77E-02
Fe	56	9.46E-01
Fe	57	2.82E-02
Fe	58	3.63E-05
Co	59	5.98E-04
Ni	58	7.13E-02
Ni	60	3.58E-03
Ni	61	1.01E-04
Ni	62	8.06E-04
Ni	64	2.15E-08
Cu	63	5.71E-07
Cu	65	1.32E-07
Zn	64	2.11E-06
Zn	66	3.13E-06
Zn	67	1.79E-09
Zn	68	1.12E-09
Zn	70	1.63E-15
Ga	69	2.00E-13
Ga	71	3.49E-15
