Element	MassNumber	N1def
He	4	5.18E-05
C	12	1.15E-02
C	13	8.75E-09
N	14	1.63E-06
N	15	2.31E-09
O	16	1.57E-02
O	17	2.39E-07
O	18	3.15E-09
F	19	2.81E-11
Ne	20	7.62E-04
Ne	21	1.73E-07
Ne	22	5.75E-04
Na	23	1.27E-05
Mg	24	9.79E-04
Mg	25	1.69E-05
Mg	26	2.43E-05
Al	27	6.42E-05
Si	28	5.24E-03
Si	29	5.88E-05
Si	30	1.09E-04
P	31	2.53E-05
S	32	1.77E-03
S	33	8.11E-06
S	34	8.17E-05
S	36	1.11E-08
Cl	35	4.96E-06
Cl	37	5.91E-07
Ar	36	2.71E-04
Ar	38	3.29E-05
Ar	40	2.67E-10
K	39	1.73E-06
K	41	9.08E-08
Ca	40	2.31E-04
Ca	42	6.68E-07
Ca	43	1.46E-09
Ca	44	1.97E-07
Ca	46	4.82E-13
Ca	48	7.17E-16
Sc	45	3.03E-09
Ti	46	3.21E-07
Ti	47	1.29E-08
Ti	48	6.11E-06
Ti	49	5.30E-07
Ti	50	2.09E-08
V	50	1.90E-10
V	51	2.89E-06
Cr	50	1.00E-05
Cr	52	2.37E-04
Cr	53	4.43E-05
Cr	54	7.65E-07
Mn	55	6.89E-04
Fe	54	4.33E-03
Fe	56	3.53E-02
Fe	57	1.30E-03
Fe	58	5.69E-06
Co	59	2.82E-05
Ni	58	4.55E-03
Ni	60	2.24E-04
Ni	61	3.18E-06
Ni	62	2.71E-05
Ni	64	3.58E-09
Cu	63	2.76E-08
Cu	65	6.57E-09
Zn	64	1.01E-07
Zn	66	1.42E-07
Zn	67	1.00E-10
Zn	68	6.79E-11
Zn	70	3.06E-16
Ga	69	3.80E-14
Ga	71	4.97E-16
Ge	70	3.10E-14
