Element	MassNumber	N3def
He	4	7.82E-05
C	12	2.38E-02
C	13	2.48E-08
N	14	5.15E-06
N	15	7.82E-09
O	16	3.57E-02
O	17	7.19E-07
O	18	1.14E-08
F	19	9.97E-11
Ne	20	2.38E-03
Ne	21	5.66E-07
Ne	22	1.17E-03
Na	23	4.00E-05
Mg	24	2.98E-03
Mg	25	5.32E-05
Mg	26	7.34E-05
Al	27	2.04E-04
Si	28	1.51E-02
Si	29	1.72E-04
Si	30	3.18E-04
P	31	7.67E-05
S	32	4.99E-03
S	33	2.38E-05
S	34	2.34E-04
S	36	3.03E-08
Cl	35	1.49E-05
Cl	37	1.75E-06
Ar	36	7.35E-04
Ar	38	9.81E-05
Ar	40	7.55E-10
K	39	5.20E-06
K	41	2.69E-07
Ca	40	6.12E-04
Ca	42	2.03E-06
Ca	43	3.78E-09
Ca	44	4.83E-07
Ca	46	1.22E-12
Ca	48	1.92E-15
Sc	45	8.45E-09
Ti	46	9.66E-07
Ti	47	3.38E-08
Ti	48	1.57E-05
Ti	49	1.37E-06
Ti	50	4.41E-08
V	50	5.01E-10
V	51	7.61E-06
Cr	50	3.04E-05
Cr	52	6.06E-04
Cr	53	1.18E-04
Cr	54	1.68E-06
Mn	55	1.76E-03
Fe	54	1.30E-02
Fe	56	7.56E-02
Fe	57	2.82E-03
Fe	58	1.18E-05
Co	59	7.82E-05
Ni	58	1.16E-02
Ni	60	6.40E-04
Ni	61	5.36E-06
Ni	62	4.60E-05
Ni	64	6.64E-09
Cu	63	5.24E-08
Cu	65	1.01E-08
Zn	64	1.66E-07
Zn	66	2.18E-07
Zn	67	1.50E-10
Zn	68	1.04E-10
Zn	70	5.32E-16
Ga	69	7.16E-14
Ga	71	8.05E-16
Ge	70	6.53E-14
