Element	MassNumber	N40def
He	4	2.02E-04
C	12	2.17E-01
C	13	1.73E-06
N	14	6.09E-05
N	15	1.34E-07
O	16	3.03E-01
O	17	7.64E-06
O	18	3.05E-07
F	19	2.72E-09
Ne	20	3.10E-02
Ne	21	1.08E-05
Ne	22	1.03E-02
Na	23	7.58E-04
Mg	24	2.10E-02
Mg	25	8.06E-04
Mg	26	1.06E-03
Al	27	2.13E-03
Si	28	7.97E-02
Si	29	1.21E-03
Si	30	1.94E-03
P	31	4.73E-04
S	32	2.51E-02
S	33	1.28E-04
S	34	1.29E-03
S	36	1.67E-07
Cl	35	7.94E-05
Cl	37	9.00E-06
Ar	36	3.57E-03
Ar	38	5.32E-04
Ar	40	4.05E-09
K	39	2.67E-05
K	41	1.35E-06
Ca	40	2.92E-03
Ca	42	1.08E-05
Ca	43	1.95E-08
Ca	44	2.16E-06
Ca	46	6.42E-12
Ca	48	3.07E-15
Sc	45	4.05E-08
Ti	46	4.95E-06
Ti	47	1.62E-07
Ti	48	7.33E-05
Ti	49	6.70E-06
Ti	50	1.57E-07
V	50	2.53E-09
V	51	3.96E-05
Cr	50	1.61E-04
Cr	52	3.19E-03
Cr	53	6.45E-04
Cr	54	7.31E-06
Mn	55	9.47E-03
Fe	54	7.36E-02
Fe	56	3.50E-01
Fe	57	1.26E-02
Fe	58	5.22E-05
Co	59	3.74E-04
Ni	58	5.57E-02
Ni	60	3.33E-03
Ni	61	1.72E-05
Ni	62	1.54E-04
Ni	64	2.32E-08
Cu	63	1.97E-07
Cu	65	3.17E-08
Zn	64	5.53E-07
Zn	66	6.83E-07
Zn	67	4.60E-10
Zn	68	3.23E-10
Zn	70	1.29E-15
Ga	69	2.53E-13
Ga	71	2.43E-15
Ge	70	2.51E-13
