Element	MassNumber	N200
C	12	1.21E-02
C	13	6.57E-08
N	14	1.33E-05
N	15	1.71E-08
O	16	1.96E-01
O	17	1.74E-06
O	18	1.98E-08
F	19	2.13E-10
Ne	20	1.15E-02
Ne	21	1.68E-06
Ne	22	2.34E-04
Na	23	1.38E-04
Mg	24	3.32E-02
Mg	25	2.14E-04
Mg	26	3.27E-04
Al	27	1.64E-03
Si	28	3.28E-01
Si	29	2.08E-03
Si	30	4.76E-03
P	31	1.08E-03
S	32	1.10E-01
S	33	5.23E-04
S	34	6.22E-03
S	36	5.42E-07
Cl	35	2.89E-04
Cl	37	4.66E-05
Ar	36	1.50E-02
Ar	38	2.69E-03
Ar	40	1.04E-08
K	39	1.42E-04
K	41	7.81E-06
Ca	40	1.07E-02
Ca	42	5.71E-05
Ca	43	8.61E-08
Ca	44	6.45E-06
Ca	46	8.60E-11
Ca	48	5.21E-15
Sc	45	2.20E-07
Ti	46	2.72E-05
Ti	47	7.66E-07
Ti	48	1.80E-04
Ti	49	1.72E-05
Ti	50	4.58E-08
V	51	6.16E-09
V	51	8.19E-05
Cr	50	4.48E-04
Cr	52	5.62E-03
Cr	53	1.06E-03
Cr	54	4.94E-06
Mn	55	1.31E-02
Fe	54	1.13E-01
Fe	56	4.36E-01
Fe	57	1.53E-02
Fe	58	2.83E-05
Co	59	5.28E-04
Ni	58	7.29E-02
Ni	60	4.67E-03
Ni	61	1.69E-05
Ni	62	1.31E-04
Ni	64	5.97E-09
Cu	63	2.10E-07
Cu	65	2.58E-08
Zn	64	5.45E-07
Zn	66	5.97E-07
Zn	67	3.91E-10
Zn	68	2.58E-10
Zn	70	1.76E-16
Ga	69	1.39E-13
Ga	71	1.24E-15
