Element	MassNumber	N200def
He	4	1.92E-04
C	12	2.71E-01
C	13	1.00E-06
N	14	5.35E-05
N	15	8.89E-08
O	16	3.53E-01
O	17	7.82E-06
O	18	1.78E-07
F	19	1.37E-09
Ne	20	1.85E-02
Ne	21	6.89E-06
Ne	22	1.34E-02
Na	23	4.40E-04
Mg	24	1.92E-02
Mg	25	5.17E-04
Mg	26	6.44E-04
Al	27	1.42E-03
Si	28	8.46E-02
Si	29	1.13E-03
Si	30	1.98E-03
P	31	4.76E-04
S	32	2.68E-02
S	33	1.36E-04
S	34	1.38E-03
S	36	1.82E-07
Cl	35	8.41E-05
Cl	37	9.45E-06
Ar	36	3.81E-03
Ar	38	5.65E-04
Ar	40	4.18E-09
K	39	2.77E-05
K	41	1.41E-06
Ca	40	3.14E-03
Ca	42	1.13E-05
Ca	43	1.77E-08
Ca	44	2.33E-06
Ca	46	6.12E-12
Ca	48	3.03E-16
Sc	45	4.17E-08
Ti	46	5.24E-06
Ti	47	1.71E-07
Ti	48	8.19E-05
Ti	49	7.66E-06
Ti	50	4.38E-08
V	50	2.57E-09
V	51	4.76E-05
Cr	50	2.02E-04
Cr	52	3.75E-03
Cr	53	8.07E-04
Cr	54	4.65E-06
Mn	55	1.18E-02
Fe	54	9.98E-02
Fe	56	3.91E-01
Fe	57	1.44E-02
Fe	58	2.75E-05
Co	59	5.16E-04
Ni	58	7.09E-02
Ni	60	4.60E-03
Ni	61	1.64E-05
Ni	62	1.28E-04
Ni	64	5.80E-09
Cu	63	2.05E-07
Cu	65	2.54E-08
Zn	64	5.35E-07
Zn	66	5.84E-07
Zn	67	3.81E-10
Zn	68	2.50E-10
Zn	70	1.69E-16
Ga	69	1.34E-13
Ga	71	1.23E-15
Ge	70	2.21E-13
