Element	MassNumber	N20
C	12	9.20E-03
C	13	4.52E-08
N	14	8.34E-06
N	15	1.03E-08
O	16	9.04E-02
O	17	1.12E-06
O	18	1.12E-08
F	19	1.22E-10
Ne	20	5.41E-03
Ne	21	9.63E-07
Ne	22	2.58E-04
Na	23	7.30E-05
Mg	24	1.46E-02
Mg	25	1.11E-04
Mg	26	1.71E-04
Al	27	7.32E-04
Si	28	1.98E-01
Si	29	9.49E-04
Si	30	2.12E-03
P	31	4.87E-04
S	32	7.74E-02
S	33	2.43E-04
S	34	2.84E-03
S	36	2.54E-07
Cl	35	1.35E-04
Cl	37	2.26E-05
Ar	36	1.28E-02
Ar	38	1.25E-03
Ar	40	4.79E-09
K	39	6.80E-05
K	41	3.80E-06
Ca	40	1.13E-02
Ca	42	2.65E-05
Ca	43	4.29E-08
Ca	44	8.14E-06
Ca	46	4.01E-11
Ca	48	1.86E-14
Sc	45	1.36E-07
Ti	46	1.33E-05
Ti	47	4.84E-07
Ti	48	2.67E-04
Ti	49	2.07E-05
Ti	50	3.43E-07
V	51	3.70E-09
V	51	8.06E-05
Cr	50	3.08E-04
Cr	52	7.23E-03
Cr	53	9.48E-04
Cr	54	1.08E-05
Mn	55	9.70E-03
Fe	54	6.71E-02
Fe	56	7.90E-01
Fe	57	2.31E-02
Fe	58	7.37E-05
Co	59	6.12E-04
Ni	58	6.63E-02
Ni	60	4.31E-03
Ni	61	9.18E-05
Ni	62	7.49E-04
Ni	64	4.72E-08
Cu	63	5.62E-07
Cu	65	1.31E-07
Zn	64	2.09E-06
Zn	66	3.04E-06
Zn	67	1.75E-09
Zn	68	1.13E-09
Zn	70	3.67E-15
Ga	69	3.30E-13
Ga	71	4.73E-15
