Element	MassNumber	N1600C
C	12	1.68E-02
C	13	8.44E-08
N	14	1.88E-05
N	15	2.41E-08
O	16	2.72E-01
O	17	2.42E-06
O	18	2.73E-08
F	19	2.97E-10
Ne	20	1.73E-02
Ne	21	2.39E-06
Ne	22	2.97E-04
Na	23	2.02E-04
Mg	24	4.64E-02
Mg	25	3.12E-04
Mg	26	4.82E-04
Al	27	2.37E-03
Si	28	3.44E-01
Si	29	2.86E-03
Si	30	6.55E-03
P	31	1.47E-03
S	32	1.03E-01
S	33	6.79E-04
S	34	8.06E-03
S	36	7.68E-07
Cl	35	3.84E-04
Cl	37	5.75E-05
Ar	36	1.23E-02
Ar	38	3.42E-03
Ar	40	1.48E-08
K	39	1.75E-04
K	41	9.65E-06
Ca	40	7.50E-03
Ca	42	7.30E-05
Ca	43	1.14E-07
Ca	44	4.06E-06
Ca	46	1.24E-10
Ca	48	6.99E-15
Sc	45	2.45E-07
Ti	46	3.34E-05
Ti	47	8.59E-07
Ti	48	9.30E-05
Ti	49	1.03E-05
Ti	50	1.72E-09
V	51	7.52E-09
V	51	6.01E-05
Cr	50	4.01E-04
Cr	52	3.94E-03
Cr	53	9.20E-04
Cr	54	4.06E-06
Mn	55	1.13E-02
Fe	54	1.00E-01
Fe	56	3.54E-01
Fe	57	1.26E-02
Fe	58	8.70E-06
Co	59	6.20E-04
Ni	58	6.16E-02
Ni	60	6.75E-03
Ni	61	1.61E-05
Ni	62	1.05E-04
Ni	64	2.55E-11
Cu	63	2.29E-07
Cu	65	2.77E-08
Zn	64	6.38E-07
Zn	66	6.45E-07
Zn	67	4.24E-10
Zn	68	2.53E-10
Zn	70	1.25E-21
Ga	69	1.15E-14
Ga	71	7.02E-16
