,Ia_table,cc_table,r_Ia,r_Ia_err_n,r_Ia_err_p,r_cc,r_cc_err_n,r_cc_err_p,chisq,dof,Total_cont_N,Ia_cont_N,cc_cont_N,Total_cont_O,Ia_cont_O,cc_cont_O,Total_cont_Ne,Ia_cont_Ne,cc_cont_Ne,Total_cont_Mg,Ia_cont_Mg,cc_cont_Mg,Total_cont_Si,Ia_cont_Si,cc_cont_Si,Total_cont_S,Ia_cont_S,cc_cont_S,Total_cont_Ar,Ia_cont_Ar,cc_cont_Ar,Total_cont_Ca,Ia_cont_Ca,cc_cont_Ca,Total_cont_Fe,Ia_cont_Fe,cc_cont_Fe,Total_cont_Ni,Ia_cont_Ni,cc_cont_Ni
0,Fink_2013_N100def.txt,Nomoto_2013_0.008.txt,0.5350674968105095,0.017746220077232033,-0.017746220077228148,0.46493250318949053,-0.017746220077228148,0.017746220077232033,70.72358922451272,8.0,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695,0.07584791805267695
1,Fink_2013_N3def.txt,Nomoto_2013_0.008.txt,0.5458263567643117,0.01749587923938467,-0.017495879257189983,0.4541736432356883,-0.017495879257189983,0.01749587923938467,71.2258124848848,8.0,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395,0.048541249850802395
2,Fink_2013_N1def.txt,Nomoto_2013_0.008.txt,0.5669550768062471,0.017128016590323925,-0.017128016590720718,0.4330449231937529,-0.017128016590720718,0.017128016590323925,70.5963338785895,8.0,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808,0.04477009984170808
3,Seitenzahl_2013_N10.txt,Nomoto_2013_0.008.txt,0.5692882052750063,0.017145466620961614,-0.017145466622330297,0.43071179472499366,-0.017145466622330297,0.017145466620961614,75.0623712334285,8.0,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776,0.034204494343642776
4,Fink_2013_N1600Cdef.txt,Nomoto_2013_0.008.txt,0.5222871088085055,0.018127437730816265,-0.01812743896700597,0.4777128911914945,-0.01812743896700597,0.018127437730816265,71.87408302427404,8.0,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985,0.11382593982973985
5,Seitenzahl_2013_N100.txt,Nomoto_2013_0.008.txt,0.5604401589881958,0.017855831742202066,-0.017855831742201622,0.43955984101180423,-0.017855831742201622,0.017855831742202066,61.12988699080165,8.0,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902,0.19935583244298902
6,Seitenzahl_2013_N1600C.txt,Nomoto_2013_0.008.txt,0.8426770750363854,0.00893661167423232,-0.008936612159808899,0.15732292496361455,-0.008936612159808899,0.00893661167423232,66.9743512497532,8.0,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203,0.08212842385808203
7,Fink_2013_N5def.txt,Nomoto_2013_0.008.txt,0.8482195521126835,0.008565291321204427,-0.008565291321158686,0.15178044788731648,-0.008565291321158686,0.008565291321204427,67.07368043888262,8.0,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272,0.05265552867145272
8,Fink_2013_N40def.txt,Nomoto_2013_0.008.txt,0.8587502016401876,0.007951067579724191,-0.007951067579756277,0.14124979835981244,-0.007951067579756277,0.007951067579724191,65.53751394384258,8.0,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204,0.048671874006599204
9,Seitenzahl_2013_N100L.txt,Nomoto_2013_0.008.txt,0.8598001311347945,0.007909143165846455,-0.007909143166144772,0.14019986886520552,-0.007909143166144772,0.007909143165846455,70.46033433131021,8.0,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706,0.037235644417127706
